transaction_id,customer_id,customer_name,customer_age,gender,product_id,product_name,product_category,quantiy,prce,payment_mode,purchase_date,time_of_purchase,status
TXN886726,CUST4481,Dhanush Bhakta,41,F,P8464,Sofa,Furniture,5,21410,UPI,29/08/2023,8:16:22,pending
TXN941069,CUST9221,Anahita Shenoy,46,F,P7932,Sunglasses,Accessories,2,1156,Cash,04/06/2023,16:24:21,pending
TXN132714,CUST9088,Samaira Bora,29,Female,P9223,Sunglasses,Accessories,4,13828,UPI,16/09/2023,17:36:13,cancelled
TXN855235,CUST5938,Yashvi Sachar,44,Male,P6308,Smartwatch,Electronics,3,11214,EMI,26/08/2023,16:59:09,delivered
TXN570157,CUST1985,Rhea Manda,45,Female,P5718,Wardrobe,Furniture,4,6120,EMI,23/11/2023,0:43:18,delivered
TXN539308,CUST4895,Shaan Wali,47,M,P4430,Sweater,Clothing,1,1877,UPI,05/08/2023,12:50:42,cancelled
TXN812961,CUST8436,Siya Mane,39,Male,P1599,Vegetables,Groceries,4,7564,EMI,08/12/2023,11:27:03,returned
TXN217458,CUST9221,Anahita Shenoy,46,F,P3359,Dining Table,Furniture,5,14240,UPI,13/08/2023,18:47:24,pending
TXN352074,CUST9479,Nehmat Choudhary,49,Male,P2105,Fruits,Groceries,4,19380,Debit Card,12/09/2023,20:52:07,pending
TXN965428,CUST1799,Damini Bhalla,38,M,P4692,Sofa,Furniture,1,162,Cash,12/09/2023,2:35:57,returned
TXN493697,CUST5865,Ira Bora,39,Male,P9651,Laptop,Electronics,4,7752,CC,18/01/2023,3:17:07,delivered
TXN855235,CUST5938,Yashvi Sachar,44,Male,P6308,Smartwatch,Electronics,3,11214,EMI,26/08/2023,16:59:09,delivered
TXN396910,CUST3454,Aradhya Chandra,41,Male,P3222,Vegetables,Groceries,5,7760,CC,11/04/2023,22:27:30,delivered
TXN477631,CUST1468,Myra Joshi,46,Male,P4617,Shirt,Clothing,3,4188,Cash,18/06/2023,1:46:50,returned
TXN243931,CUST5494,Kartik Zacharia,39,F,P9608,Wheat,Groceries,4,10732,Credit Card,17/07/2023,17:18:25,pending
TXN582746,CUST2278,Vihaan Ghosh,40,M,P3560,Tablet,Electronics,4,12652,Credit Card,01/08/2023,17:32:59,cancelled
TXN652361,CUST8484,Navya Sidhu,43,M,P4754,Handbag,Accessories,2,4674,Cash,04/04/2023,9:45:48,returned
TXN684523,CUST7801,Drishya Mane,20,Male,P9360,Shirt,Clothing,1,1210,Debit Card,04/05/2023,19:24:20,pending
TXN769956,CUST3917,Taran Sankar,36,F,P6274,Jacket,Clothing,1,403,EMI,23/11/2023,20:36:53,delivered
TXN899950,CUST3860,Uthkarsh Dave,18,Male,P3866,Magazine,Books,2,9748,Cash,03/05/2023,18:15:36,pending
TXN386959,CUST3096,Shaan Bhandari,19,F,P8700,Jeans,Clothing,3,11745,Credit Card,02/08/2023,22:17:00,cancelled
TXN733404,CUST5252,Darshit Mann,57,F,P5391,Chair,Furniture,1,182,Cash,16/04/2023,11:40:43,cancelled
TXN928044,CUST5126,Khushi Devan,53,Female,P4524,T-Shirt,Clothing,4,14788,Credit Card,07/10/2023,6:22:12,returned
